,params,mean_train_score,mean_test_score,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_random_state
2291,"{'learning_rate_init': 0.0001, 'max_iter': 90, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9930074768490441,0.564,100,0.0001,90,1
46,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 10}",0.23801863842363277,0.198,10,0.0001,100,1
298,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 3, 'hidden_layer_sizes': 20}",0.41612625657497443,0.274,20,0.0001,100,3
547,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 30}",0.7939046296079276,0.488,30,0.0001,100,2
797,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 2, 'hidden_layer_sizes': 40}",0.8699488622999443,0.512,40,0.0001,100,2
1049,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 50}",0.918092497829809,0.508,50,0.0001,100,4
1299,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9549641275349096,0.524,60,0.0001,100,4
1545,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9799759609317708,0.55,70,0.0001,100,0
1795,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9629846629743805,0.58,80,0.0001,100,0
2045,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9869982768442772,0.58,90,0.0001,100,0
2296,"{'learning_rate_init': 0.0001, 'max_iter': 100, 'random_state': 1, 'hidden_layer_sizes': 100}",0.9970177445687796,0.566,100,0.0001,100,1
51,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 10}",0.21598326392069933,0.21,10,0.0005,10,1
302,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 20}",0.29999451309140746,0.254,20,0.0005,10,2
552,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 30}",0.49508156610052495,0.402,30,0.0005,10,2
803,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 40}",0.5832189507309812,0.416,40,0.0005,10,3
1052,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 2, 'hidden_layer_sizes': 50}",0.60819492480397,0.47,50,0.0005,10,2
1300,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 60}",0.6552145631482874,0.492,60,0.0005,10,0
1550,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 70}",0.7730020821089948,0.566,70,0.0005,10,0
1803,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 3, 'hidden_layer_sizes': 80}",0.7569643145362429,0.604,80,0.0005,10,3
2050,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 0, 'hidden_layer_sizes': 90}",0.8111317764266205,0.61,90,0.0005,10,0
2301,"{'learning_rate_init': 0.0005, 'max_iter': 10, 'random_state': 1, 'hidden_layer_sizes': 100}",0.8701162958196921,0.642,100,0.0005,10,1
56,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 10}",0.1759473189088843,0.158,10,0.0005,20,1
309,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 20}",0.31899579635835607,0.266,20,0.0005,20,4
556,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 30}",0.6901976017961057,0.522,30,0.0005,20,1
807,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 2, 'hidden_layer_sizes': 40}",0.8049336399089504,0.578,40,0.0005,20,2
1056,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 1, 'hidden_layer_sizes': 50}",0.8790004433090912,0.588,50,0.0005,20,1
1309,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9129587729745845,0.62,60,0.0005,20,4
1555,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 70}",0.9589567356177379,0.658,70,0.0005,20,0
1805,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9050491188129209,0.672,80,0.0005,20,0
2055,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9660237406725704,0.684,90,0.0005,20,0
2308,"{'learning_rate_init': 0.0005, 'max_iter': 20, 'random_state': 3, 'hidden_layer_sizes': 100}",0.9719614920546215,0.714,100,0.0005,20,3
61,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 10}",0.1839079988002248,0.168,10,0.0005,30,1
314,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 20}",0.3460035287590877,0.27,20,0.0005,30,4
561,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 30}",0.843138356180511,0.578,30,0.0005,30,1
812,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9269912716749541,0.6,40,0.0005,30,2
1061,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 1, 'hidden_layer_sizes': 50}",0.9780393774259725,0.602,50,0.0005,30,1
1314,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 4, 'hidden_layer_sizes': 60}",0.985997024036152,0.638,60,0.0005,30,4
1562,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 2, 'hidden_layer_sizes': 70}",0.9919824978416899,0.67,70,0.0005,30,2
1810,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 80}",0.9849811448722806,0.684,80,0.0005,30,0
2060,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 0, 'hidden_layer_sizes': 90}",0.9959957988425864,0.686,90,0.0005,30,0
2313,"{'learning_rate_init': 0.0005, 'max_iter': 30, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.71,100,0.0005,30,3
66,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 10}",0.1939095368627909,0.178,10,0.0005,40,1
319,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 20}",0.37304105392137005,0.302,20,0.0005,40,4
566,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 1, 'hidden_layer_sizes': 30}",0.929053362814306,0.588,30,0.0005,40,1
817,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9629427370881861,0.606,40,0.0005,40,2
1069,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 50}",0.9930314730733021,0.616,50,0.0005,40,4
1319,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 4, 'hidden_layer_sizes': 60}",0.9990108803165182,0.63,60,0.0005,40,4
1568,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 70}",0.9990108803165182,0.672,70,0.0005,40,3
1815,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 80}",0.998992950654582,0.682,80,0.0005,40,0
2065,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.692,90,0.0005,40,0
2318,"{'learning_rate_init': 0.0005, 'max_iter': 40, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,40,3
71,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 10}",0.2059759293208406,0.174,10,0.0005,50,1
324,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 20}",0.38802404972521715,0.308,20,0.0005,50,4
571,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 1, 'hidden_layer_sizes': 30}",0.956120680738139,0.602,30,0.0005,50,1
822,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9860088871357663,0.606,40,0.0005,50,2
1074,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 50}",0.9980068642522614,0.616,50,0.0005,50,4
1324,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 4, 'hidden_layer_sizes': 60}",1.0,0.632,60,0.0005,50,4
1573,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.674,70,0.0005,50,3
1820,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.686,80,0.0005,50,0
2070,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.694,90,0.0005,50,0
2323,"{'learning_rate_init': 0.0005, 'max_iter': 50, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,50,3
76,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 10}",0.2059759293208406,0.174,10,0.0005,60,1
329,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 20}",0.4039365796894446,0.326,20,0.0005,60,4
576,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9760672046213307,0.604,30,0.0005,60,1
827,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9930044435678832,0.604,40,0.0005,60,2
1079,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 4, 'hidden_layer_sizes': 50}",1.0,0.61,50,0.0005,60,4
1326,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 1, 'hidden_layer_sizes': 60}",1.0,0.63,60,0.0005,60,1
1578,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.676,70,0.0005,60,3
1825,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.686,80,0.0005,60,0
2075,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.694,90,0.0005,60,0
2328,"{'learning_rate_init': 0.0005, 'max_iter': 60, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,60,3
81,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 10}",0.20192980227723267,0.184,10,0.0005,70,1
334,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 4, 'hidden_layer_sizes': 20}",0.4139560474139468,0.33,20,0.0005,70,4
581,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9860599128654434,0.6,30,0.0005,70,1
832,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9949826829348467,0.606,40,0.0005,70,2
1081,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 50}",0.998995983935743,0.614,50,0.0005,70,1
1331,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 1, 'hidden_layer_sizes': 60}",1.0,0.63,60,0.0005,70,1
1583,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 70}",1.0,0.676,70,0.0005,70,3
1830,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 80}",1.0,0.686,80,0.0005,70,0
2080,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 0, 'hidden_layer_sizes': 90}",1.0,0.694,90,0.0005,70,0
2333,"{'learning_rate_init': 0.0005, 'max_iter': 70, 'random_state': 3, 'hidden_layer_sizes': 100}",1.0,0.716,100,0.0005,70,3
86,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 10}",0.20996826737863986,0.178,10,0.0005,80,1
339,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 4, 'hidden_layer_sizes': 20}",0.42399951136270725,0.326,20,0.0005,80,4
586,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 1, 'hidden_layer_sizes': 30}",0.9930135434113659,0.602,30,0.0005,80,1
837,"{'learning_rate_init': 0.0005, 'max_iter': 80, 'random_state': 2, 'hidden_layer_sizes': 40}",0.9959897322802646,0.606,40,0.0005,80,2
